,OR,CI_Lower,CI_Upper,P-Value
Intercept,0.015961377075561233,2.252924304925178e-05,11.308216507376729,0.21659980244296284
Q('CEA')[T.0.31],0.017987744292054107,1.052729415658268e-20,3.073524306471541e+16,0.8512015861444012
Q('CEA')[T.0.45],0.10693060122133595,1.984972038769325e-11,576035997.1944741,0.8449656107332354
Q('CEA')[T.0.5],0.4063484765152815,3.942444317845477e-12,41882413815.93621,0.9445098306899645
Q('CEA')[T.0.51],0.1069306012212198,1.9849720387417725e-11,576035997.2012173,0.8449656107332484
Q('CEA')[T.0.59],2.1148848962309186e-08,0.0,inf,0.9968482054956677
Q('CEA')[T.0.63],0.00024319808893921884,6.841848751343037e-61,8.644638695364106e+52,0.9003200084724798
Q('CEA')[T.0.64],0.10693060122125232,1.9849720387802768e-11,576035997.1903955,0.8449656107331388
Q('CEA')[T.0.66],3.7250138954361806e-11,0.0,inf,0.9997765279533801
Q('CEA')[T.0.69],0.05115493362078812,6.8594830999945464e-37,3.814904411309561e+33,0.942152187675188
Q('CEA')[T.0.75],0.4063484765152409,3.942444317884919e-12,41882413815.50887,0.9445098306899363
Q('CEA')[T.0.76],211215870.6722322,0.0,inf,0.9991633210484774
Q('CEA')[T.0.77],0.026944555108406164,4.3112660590492795e-32,1.6839810859412243e+28,0.9177699622543384
Q('CEA')[T.0.78],6.29248423195232e-05,5.688338826173541e-101,6.960794534105248e+91,0.9316784114368134
Q('CEA')[T.0.8],0.4063484765157935,3.942444317712445e-12,41882413817.45483,0.9445098306901185
Q('CEA')[T.0.83],0.5055244757420204,4.295491381111351e-20,5.949377449527729e+18,0.9757102209517693
Q('CEA')[T.0.84],0.40634847651517114,3.94244431787426e-12,41882413815.60752,0.9445098306899313
Q('CEA')[T.0.88],0.00045775350970292714,1.2947920381466032e-69,1.6183160652214457e+62,0.9204630398884168
Q('CEA')[T.0.9],0.00024319808893826756,6.841848750322721e-61,8.644638696585458e+52,0.9003200084725438
Q('CEA')[T.0.91],0.07426185365083757,5.554362531446217e-19,9928813390260510.0,0.8971734221226774
Q('CEA')[T.0.92],11.245515707514041,0.015870709805431826,7968.239926147666,0.46988363719836057
Q('CEA')[T.0.95],0.40634847651521877,3.942444317836892e-12,41882413816.01433,0.9445098306899594
Q('CEA')[T.0.97],0.0002947337213478938,1.05572578907634e-130,8.228269821425566e+122,0.9563573021298075
Q('CEA')[T.0.99],0.5055244757422267,4.295491381129908e-20,5.949377449506846e+18,0.9757102209517816
Q('CEA')[T.1],0.16003490759901515,6.231346911905074e-17,411005389561844.4,0.919378527589591
Q('CEA')[T.1.01],0.05911524983703767,1.0690745624685037e-13,32688204228.022194,0.8375606198793832
Q('CEA')[T.1.03],0.10693060122114557,1.9849720387516033e-11,576035997.1975664,0.8449656107331622
Q('CEA')[T.1.05],0.3060686820635127,1.3918042176730026e-12,67306907789.60169,0.929199834054721
